id,average_weight,mechanics
10045,0,Memory
100450,0,"Memory,Set Collection"
100452,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100454,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100455,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100456,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100457,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100458,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100459,0,"Card Drafting,Variable Player Powers"
10046,0,"Point to Point Movement,Roll / Spin and Move,Set Collection"
100460,0,"Card Drafting,Variable Player Powers"
100461,0,"Card Drafting,Variable Player Powers"
100463,0,"Campaign / Battle Card Driven,Dice Rolling,Tile Placement"
100465,2,Dice Rolling
100466,0,Hand Management
100467,0,Hand Management
100468,0,Hand Management
100469,0,Roll / Spin and Move
100470,0,Acting
100471,0,"Hand Management,Pattern Building"
100473,1.8333,"Pick-up and Deliver,Route/Network Building"
10048,0,Acting
100480,3.3333,"Area Enclosure,Paper-and-Pencil,Pattern Building"
100489,1,"Hand Management,Tile Placement"
10049,0,"Point to Point Movement,Roll / Spin and Move,Set Collection"
100494,1,Roll / Spin and Move
1005,2,"Co-operative Play,Roll / Spin and Move"
10050,1,"Point to Point Movement,Roll / Spin and Move,Set Collection"
10051,0,"Memory,Roll / Spin and Move,Set Collection"
10052,1.3333,
100526,0,Role Playing
100527,2.5135,"Dice Rolling,Modular Board,Variable Player Powers"
100529,0,"Dice Rolling,Hand Management"
10053,0,"Pattern Recognition,Pick-up and Deliver"
100534,0,"Action Point Allowance System,Variable Player Powers"
100535,0,"Action Point Allowance System,Variable Player Powers"
100536,0,"Action Point Allowance System,Variable Player Powers"
100537,0,"Action Point Allowance System,Variable Player Powers"
10054,1,"Point to Point Movement,Roll / Spin and Move"
100543,1,"Card Drafting,Hand Management,Set Collection"
100548,0,"Route/Network Building,Tile Placement"
10055,0,"Hand Management,Pick-up and Deliver,Point to Point Movement"
10056,1,"Hand Management,Set Collection,Simultaneous Action Selection"
100564,0,Set Collection
10057,0,"Hand Management,Set Collection"
10058,1,"Dice Rolling,Set Collection"
100582,3.5,Hex-and-Counter
100583,4.3333,Hex-and-Counter
10059,0,"Pick-up and Deliver,Set Collection"
100595,0,
100596,0,"Hand Management,Memory"
1006,1.6667,
10060,1,"Pattern Recognition,Pick-up and Deliver,Tile Placement"
100601,0,"Dice Rolling,Hex-and-Counter"
10061,0,Roll / Spin and Move
10062,0,
100620,0,Hex-and-Counter
10063,0,Memory
10064,0,Roll / Spin and Move
100642,0,"Roll / Spin and Move,Simulation"
100643,1,Card Drafting
100647,0,"Voting,Worker Placement"
10065,2.6667,"Roll / Spin and Move,Set Collection"
10066,0,Roll / Spin and Move
100666,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading"
100669,0,
10067,0,Memory
100670,0,"Betting/Wagering,Set Collection,Trick-taking"
100675,0,"Roll / Spin and Move,Simulation,Trading"
100677,0,"Card Drafting,Dice Rolling,Hand Management,Point to Point Movement"
100678,0,
100679,1.3077,"Dice Rolling,Grid Movement,Hand Management,Player Elimination,Simultaneous Action Selection,Variable Player Powers"
10068,0,Co-operative Play
100680,0,"Commodity Speculation,Stock Holding,Trading"
100683,0,
100687,0,"Hand Management,Partnerships"
10069,0,"Roll / Spin and Move,Singing,Storytelling"
100690,0,"Auction/Bidding,Roll / Spin and Move,Set Collection"
1007,2.2778,"Partnerships,Pick-up and Deliver"
10070,0,Roll / Spin and Move
100700,0,Roll / Spin and Move
10071,0,Tile Placement
10072,0,Memory
100724,0,"Action Point Allowance System,Area Movement,Auction/Bidding,Campaign / Battle Card Driven,Modular Board,Simultaneous Action Selection,Variable Player Powers,Worker Placement"
100726,0,"Auction/Bidding,Hand Management,Simultaneous Action Selection"
10073,0,
100734,1.6875,"Card Drafting,Hand Management,Set Collection"
100737,0,Paper-and-Pencil
100738,0,Memory
100739,0,Paper-and-Pencil
10074,0,Tile Placement
100741,0,
10075,1.3333,"Acting,Memory"
100753,1,Secret Unit Deployment
100758,1.8,"Pick-up and Deliver,Point to Point Movement"
10076,0,Tile Placement
100766,2,"Card Drafting,Deck / Pool Building,Hand Management"
10077,1.5,"Memory,Tile Placement"
10078,1,Auction/Bidding
10079,1,"Dice Rolling,Memory,Set Collection"
100795,1,"Dice Rolling,Variable Player Powers"
100797,0,"Acting,Roll / Spin and Move"
100798,2,"Dice Rolling,Modular Board"
1008,1.6667,Tile Placement
10080,2,Hex-and-Counter
100803,0,"Campaign / Battle Card Driven,Hand Management"
100804,0,
10081,2.3867,"Area Movement,Dice Rolling,Partnerships"
10082,0,Simultaneous Action Selection
10083,0,"Point to Point Movement,Roll / Spin and Move"
10084,1,
10085,0,"Point to Point Movement,Roll / Spin and Move"
10086,0,Memory
100865,0,Route/Network Building
10087,0,"Partnerships,Set Collection"
100873,0,"Betting/Wagering,Roll / Spin and Move"
100877,0,"Card Drafting,Roll / Spin and Move"
100879,2,"Pattern Building,Set Collection"
10088,0,Paper-and-Pencil
100880,2,"Hand Management,Pattern Building"
100881,3,"Hand Management,Partnerships,Point to Point Movement,Secret Unit Deployment"
100882,0,Set Collection
100885,0,Roll / Spin and Move
10089,2,"Betting/Wagering,Trick-taking"
10090,1,
100901,2.2118,"Action Point Allowance System,Co-operative Play,Dice Rolling,Grid Movement,Pick-up and Deliver,Simulation,Variable Player Powers"
10091,0,Roll / Spin and Move
10092,1,"Roll / Spin and Move,Stock Holding"
10093,3.2105,"Area Movement,Dice Rolling,Partnerships"
10094,1.6667,"Memory,Voting"
100945,0,"Acting,Co-operative Play,Paper-and-Pencil,Role Playing"
10095,2,
100953,1,"Dice Rolling,Roll / Spin and Move"
10096,2.2,Memory
100964,0,"Dice Rolling,Variable Player Powers"
10097,0,Roll / Spin and Move
10098,1,"Betting/Wagering,Storytelling"
10099,0,Memory
101,1.6972,Auction/Bidding
1010,1.5,
10100,0,
101001,0,Set Collection
101002,0,Rock-Paper-Scissors
101007,4,"Dice Rolling,Simulation,Variable Player Powers"
101008,2,"Pattern Building,Tile Placement"
101009,1.75,"Pattern Building,Tile Placement"
10101,0,"Pick-up and Deliver,Roll / Spin and Move"
101013,2.6667,"Area Movement,Secret Unit Deployment"
101014,0,"Dice Rolling,Point to Point Movement,Roll / Spin and Move"
101017,0,"Dice Rolling,Roll / Spin and Move,Set Collection,Trading"
101019,0,"Auction/Bidding,Dice Rolling,Roll / Spin and Move,Set Collection,Trading"
10102,2.5556,"Dice Rolling,Hex-and-Counter,Simulation"
101020,2.1429,"Area Control / Area Influence,Card Drafting,Hand Management,Set Collection"
101021,0,"Auction/Bidding,Dice Rolling,Player Elimination,Roll / Spin and Move,Set Collection,Stock Holding,Trading"
101023,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading"
101024,0,"Auction/Bidding,Roll / Spin and Move,Set Collection,Trading"
10103,1.5,Dice Rolling
10104,1,Pattern Building
10105,1,Dice Rolling
10106,0,Storytelling
10107,0,Set Collection
101077,2.5,"Area Control / Area Influence,Campaign / Battle Card Driven,Simulation"
10108,0,Set Collection
101080,4,"Pick-up and Deliver,Route/Network Building,Tile Placement"
101081,3.8,"Pick-up and Deliver,Route/Network Building,Tile Placement"
101082,4,"Pick-up and Deliver,Route/Network Building,Tile Placement"
101083,3.6667,"Pick-up and Deliver,Route/Network Building,Tile Placement"
10109,0,
1011,1.7273,"Dice Rolling,Set Collection"
101108,0,"Memory,Roll / Spin and Move"
10111,0,"Pattern Recognition,Simultaneous Action Selection"
101113,0,Roll / Spin and Move
101118,2.2222,"Area Movement,Area-Impulse,Dice Rolling"
10112,1,"Betting/Wagering,Memory"
101120,1,Set Collection
101121,0,"Dice Rolling,Hex-and-Counter"
10113,0,Set Collection
101136,0,"Auction/Bidding,Commodity Speculation,Worker Placement"
10114,1,"Memory,Partnerships"
10115,0,Memory
10116,0,Memory
10117,2,Memory
10118,0,Memory
10119,2,Memory
1012,1.8889,"Roll / Spin and Move,Set Collection"
10120,1,"Line Drawing,Pattern Recognition"
101206,2.3,Hex-and-Counter
10122,0,Memory
10123,0,Memory
101239,0,Hand Management
10124,1.3333,Memory
10125,0,"Partnerships,Roll / Spin and Move,Set Collection"
101252,0,
101254,0,
101255,0,Grid Movement
101257,0,Pattern Building
101258,0,
10126,0,"Point to Point Movement,Roll / Spin and Move"
10127,0,"Point to Point Movement,Roll / Spin and Move,Storytelling"
101270,0,"Area Movement,Hex-and-Counter,Modular Board"
10128,0,"Memory,Roll / Spin and Move"
10129,2,
1013,2.6667,"Auction/Bidding,Commodity Speculation,Simultaneous Action Selection"
10130,1,"Pick-up and Deliver,Set Collection"
10131,0,"Pick-up and Deliver,Point to Point Movement,Roll / Spin and Move"
10132,0,"Memory,Roll / Spin and Move"
10133,0,"Point to Point Movement,Roll / Spin and Move"
